date,ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),AMBANK-C10: CW AMMB HOLDINGS BERHAD (CIMB),AMBANK-C11: CW AMMB HOLDINGS BERHAD (MIBB),AMBANK-C12: CW AMMB HOLDINGS BERHAD (RHB),AMBANK-C13: CW AMMB HOLDINGS BERHAD (MACQ),BURSA-C20: CW BURSA MALAYSIA BERHAD (MACQ),BURSA-C21: CW BURSA MALAYSIA BERHAD (RHB),BURSA-C22: CW BURSA MALAYSIA BERHAD (MACQ),BURSA-C23: CW BURSA MALAYSIA BERHAD (CIMB),CIMB-C40: CW CIMB GROUP HOLDINGS BERHAD (MACQ),CIMB-C41: CW CIMB GROUP HOLDINGS BERHAD (MIBB),CIMB-C42: CW CIMB GROUP HOLDINGS BERHAD (MIBB),CIMB-C43: CW CIMB GROUP HOLDINGS BERHAD (MACQ),CIMB-C44: CW CIMB GROUP HOLDINGS BERHAD (KIBB),CIMB-C45: CW CIMB GROUP HOLDINGS BERHAD (MACQ),CIMB-C46: CW CIMB GROUP HOLDINGS BERHAD (RHB),CIMB-C47: CW CIMB GROUP HOLDINGS BERHAD (AM),HLBANK-CN: CW HONG LEONG BANK BERHAD (CIMB),HLBANK-CO: CW HONG LEONG BANK BERHAD (RHB),MAYBANKC43: CW MALAYAN BANKING BERHAD (CIMB),MAYBANKC44: CW MALAYAN BANKING BERHAD (MACQ),MAYBANKC45: CW MALAYAN BANKING BERHAD (AM),MAYBANKC46: CW MALAYAN BANKING BERHAD (CIMB),MAYBANKC47: CW MALAYAN BANKING BERHAD (RHB),MAYBANKC48: CW MALAYAN BANKING BERHAD (MACQ),MAYBANKC49: CW MALAYAN BANKING BERHAD (MACQ),MAYBANKC50: CW MALAYAN BANKING BERHAD (RHB),MAYBANKC51: CW MALAYAN BANKING BERHAD (KIBB),MAYBANKC52: CW MALAYAN BANKING BERHAD (CIMB),MAYBANKC53: CW MALAYAN BANKING BERHAD (AM),MBSB-C15: CW MALAYSIA BUILDING SOCIETY BERHAD (CIMB),MBSB-C16: CW MALAYSIA BUILDING SOCIETY BERHAD (MIBB),MBSB-C17: CW MALAYSIA BUILDING SOCIETY BERHAD (CIMB),MBSB-C18: CW MALAYSIA BUILDING SOCIETY BERHAD (MACQ),MBSB-C19: CW MALAYSIA BUILDING SOCIETY BERHAD (KIBB),MBSB-C20: CW MALAYSIA BUILDING SOCIETY BERHAD (MACQ),MBSB-C21: CW MALAYSIA BUILDING SOCIETY BERHAD (CIMB),PBBANK-C26: CW PUBLIC BANK BERHAD (MACQ),PBBANK-C27: CW PUBLIC BANK BERHAD (CIMB),PBBANK-C28: CW PUBLIC BANK BERHAD (MIBB),PBBANK-C29: CW PUBLIC BANK BERHAD (KIBB),PBBANK-C30: CW PUBLIC BANK BERHAD (RHB),PBBANK-C31: CW PUBLIC BANK BERHAD (MACQ),RHBBANKC10: CW RHB BANK BERHAD (MIBB),RHBBANKC11: CW RHB BANK BERHAD (AM),RHBBANKC12: CW RHB BANK BERHAD (MACQ),RHBBANKC13: CW RHB BANK BERHAD (CIMB),RHBBANKC14: CW RHB BANK BERHAD (KIBB),TAKAFUL-CC: CW SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD (CIMB),TAKAFUL-CD: CW SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD (MIBB)
2019-02-26,0.0,0.0,0.0,-0.03225806451612906,-0.0454545454545455,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,-0.3,0.0,0.0,0.0454545454545455,,,0.0,-0.11111111111111106,-0.13333333333333328,-0.06666666666666654,-0.06250000000000007,0.0,,0.0,-0.11111111111111106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2019-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11111111111111106,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666671,0.0,0.0,0.0,,0.0,0.0,0.07692307692307697,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
2019-02-28,0.0,0.0,0.0,0.0,-0.0952380952380952,0.0,0.0,-0.05263157894736847,-0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.05263157894736847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666666666666666,,0.2500000000000001,-0.06250000000000007,0.07142857142857129,0.0,-0.06666666666666654,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1875,-0.05000000000000005,-0.5,,0.0,
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07692307692307697,0.0,0.0,0.0,0.0,0.0,-0.1739130434782609,-0.15384615384615388,,0.0,0.0,-0.055555555555555455,0.0,0.0,0.0,0.0,-0.2857142857142857,0.0,-0.04347826086956525,-0.04347826086956525,0.0,,0.0,-0.13333333333333328,-0.26666666666666666,-0.14285714285714296,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736847,0.06666666666666674,,-0.09090909090909087,
2019-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11111111111111106,-0.0833333333333333,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.1999999999999999,-0.040000000000000036,0.0454545454545455,0.0,0.0,0.0,0.0,-0.07692307692307697,0.0,-0.0833333333333333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.027777777777777804,0.0,0.07692307692307697,0.09999999999999996,0.06250000000000007,,0.1999999999999999,
2019-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06250000000000007,0.0,0.0,0.0,0.0,0.0,0.0,-0.05263157894736847,0.0,0.0,0.0,0.0,0.0,0.0,-0.6923076923076923,-0.2500000000000001,0.0,0.0,0.0,-0.0869565217391305,-0.0454545454545455,0.0,0.0,-0.6,0.0,-0.09090909090909087,0.0,0.0,-0.2857142857142857,,0.0,-0.12499999999999993,0.0,-0.1219512195121951,0.0,0.0,0.0,0.0,0.09090909090909087,0.0,,0.0,
2019-03-06,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.09090909090909087,0.0,0.0,0.0,0.0,0.0,-0.055555555555555455,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999999,0.0,0.0,0.0,,0.0,-0.14285714285714296,0.0,-0.055555555555555455,0.0,-0.02857142857142844,0.0,-0.2857142857142857,-0.2916666666666666,-0.1764705882352941,,0.16666666666666682,
2019-03-07,0.0,-0.1052631578947368,0.0,0.0,0.0,0.0,0.0,-0.13333333333333328,-0.0833333333333333,0.0,0.0,0.0,0.0,-0.4,-0.11764705882352952,-0.2272727272727272,0.0,0.0,0.0,-0.05882352941176475,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.04761904761904767,0.0,0.0,0.0,0.0,0.0,0.0,-0.14285714285714296,0.0,,0.0,0.0,0.0,0.0,0.0,-0.029411764705882373,0.0,-0.3,-0.11764705882352952,-0.07142857142857148,,-0.14285714285714296,
2019-03-08,0.0,0.0,0.0,-0.09999999999999992,0.0,0.0,0.0,0.0,-0.09090909090909087,0.0,0.0,0.0,0.0,0.0,-0.06666666666666654,0.0,-0.2500000000000001,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0833333333333333,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714274,0.06666666666666674,0.07692307692307697,,0.0,
2019-03-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.2272727272727272,-0.07692307692307697,0.0,0.0,0.0,0.0,0.0,-0.22222222222222213,-0.07142857142857148,0.0,0.0,-0.25,-0.15624999999999994,-0.06250000000000007,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-0.10000000000000007,0.0,0.0,0.0,-0.09090909090909087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05882352941176475,-0.12,-0.030303030303030325,0.0,0.2500000000000001,0.06250000000000007,0.0,,0.16666666666666682,-0.09999999999999992
