full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
APFT BERHAD,"APFT (5194) [s]
APFT BERHAD Summary",Consumer Products & Services - Main Market,0.005 - 0.035,,2,0.65,0.00,0.00%,,0.13,11,20.1M,Neutral 45.4,Oversold 0.0
NTPM HOLDINGS BERHAD,"NTPM (5066) [s]
NTPM HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,0.485 - 0.655,3.35,37,1.34,1.60,3.23%,1.24,63.25,1,556.0M,Neutral 47.3,Neutral 40.0
LKL INTERNATIONAL BERHAD,"LKL (0182) [s]
LKL INTERNATIONAL BERHAD Summary",Health Care - Ace Market,0.105 - 0.190,-2.07,-39,-0.29,0.00,0.00%,0.82,8.35,1,49.3M,Neutral 51.0,Neutral 50.0
TRIVE PROPERTY GROUP BERHAD,"TRIVE (0118) [s]
TRIVE PROPERTY GROUP BERHAD Summary",Technology - Main Market,0.010 - 0.040,-12.60,-4,-0.35,0.00,0.00%,0.54,0.16,9,35.2M,Neutral 45.3,Oversold 0.0
INIX TECHNOLOGIES HOLDINGS BERHAD,"INIX (0094) [s]
INIX TECHNOLOGIES HOLDINGS BERHAD Summary",Technology - Ace Market,0.045 - 0.120,-87.75,-1,-7.45,0.00,0.00%,0.88,3.37,2,19.4M,Neutral 56.6,Overbought 83.3
TALAM TRANSFORM BERHAD,"TALAMT (2259) [s]
TALAM TRANSFORM BERHAD Summary",Property - Main Market,0.025 - 0.045,-6.71,-8,-0.57,0.00,0.00%,0.53,1.66,3,189.9M,Neutral 62.4,Overbought 100.0
JOHAN HOLDINGS BERHAD,"JOHAN (3441)
JOHAN HOLDINGS BERHAD Summary",Financial Services - Main Market,0.070 - 0.265,-99.80,-1,-15.26,0.00,0.00%,0.56,17.00,1,53.0M,Neutral 46.0,Neutral 33.3
KYM HOLDINGS BERHAD,"KYM (8362) [s]
KYM HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.250 - 0.520,3.76,14,2.37,0.00,0.00%,0.51,66.85,0,48.0M,Neutral 49.4,Neutral 50.0
ASTINO BERHAD,"ASTINO (7162) [s]
ASTINO BERHAD Summary",Industrial Products & Services - Main Market,0.590 - 0.965,5.57,9,7.58,1.00,1.49%,0.49,201.89,0,183.7M,Neutral 49.6,Neutral 50.0
CYPARK RESOURCES BERHAD,"CYPARK (5184) [s]
CYPARK RESOURCES BERHAD Summary",Industrial Products & Services - Main Market,1.500 - 2.670,12.99,11,15.53,2.32,1.37%,1.41,74.69,2,774.5M,Neutral 47.3,Neutral 25.0
QUALITY CONCRETE HOLDINGS BERHAD,"QUALITY (7544) [s]
QUALITY CONCRETE HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.705 - 0.890,-9.64,-5,-17.65,0.00,0.00%,0.45,215.14,0,47.2M,Neutral 51.4,Overbought 87.5
SC ESTATE BUILDER BERHAD,"SCBUILD (0109) [s]
SC ESTATE BUILDER BERHAD Summary",Construction - Ace Market,0.010 - 0.035,4.10,19,0.16,0.00,0.00%,0.77,1.54,2,26.5M,Neutral 64.4,Overbought 100.0
APOLLO FOOD HOLDINGS BERHAD,"APOLLO (6432) [s]
APOLLO FOOD HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,3.550 - 4.560,6.26,21,18.90,20.00,5.10%,1.30,233.85,2,313.6M,Neutral 54.2,Neutral 58.3
BERJAYA CORPORATION BERHAD,"BJCORP (3395)
BERJAYA CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,0.245 - 0.395,-2.90,-7,-3.72,0.00,0.00%,0.21,158.30,0,"1,408.0M",Neutral 46.8,Neutral 71.4
LB ALUMINIUM BERHAD,"LBALUM (9326) [s]
LB ALUMINIUM BERHAD Summary",Industrial Products & Services - Main Market,0.440 - 0.680,3.04,14,3.68,1.00,1.96%,0.42,218.02,0,126.7M,Neutral 53.8,Neutral 35.3
GREENYIELD BERHAD,"GREENYB (0136) [s]
GREENYIELD BERHAD Summary",Consumer Products & Services - Main Market,0.105 - 0.200,1.20,63,0.20,0.00,0.00%,0.75,12.11,1,41.7M,Neutral 45.4,Oversold 0.0
JKG LAND BERHAD,"JKGLAND (6769) [s]
JKG LAND BERHAD Summary",Property - Main Market,0.070 - 0.100,0.45,82,0.09,0.00,0.00%,0.38,3.37,2,170.6M,Neutral 48.1,Oversold 0.0
SYF RESOURCES BERHAD,"SYF (7082) [s]
SYF RESOURCES BERHAD Summary",Consumer Products & Services - Main Market,0.210 - 0.370,-8.73,-6,-3.93,1.25,5.68%,0.49,36.27,1,136.2M,Neutral 44.7,Oversold 0.0
ECO WORLD DEVELOPMENT GROUP BERHAD,"ECOWLD (8206) [s]
ECO WORLD DEVELOPMENT GROUP BERHAD Summary",Property - Main Market,0.890 - 1.450,3.95,16,5.84,0.00,0.00%,0.63,70.90,1,"2,738.3M",Neutral 49.0,Neutral 60.0
ECO WORLD INTERNATIONAL BERHAD,"EWINT (5283)
ECO WORLD INTERNATIONAL BERHAD Summary",Property - Main Market,0.665 - 1.150,2.94,24,3.09,0.00,0.00%,0.70,0.20,363,"1,776.0M",Neutral 41.9,Oversold 18.2
KEIN HING INTERNATIONAL BERHAD,"KEINHIN (7199) [s]
KEIN HING INTERNATIONAL BERHAD Summary",Industrial Products & Services - Main Market,0.470 - 0.630,2.72,21,2.77,1.00,1.75%,0.56,215.88,0,62.1M,Neutral 55.8,Neutral 58.6
CYL CORPORATION BERHAD,"CYL (7157) [s]
CYL CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,0.400 - 0.690,-2.94,-23,-1.84,0.00,0.00%,0.69,53.46,1,43.0M,Neutral 43.1,Neutral 21.4
MINTYE BERHAD,"MBG (5886) [s]
MINTYE BERHAD Summary",Consumer Products & Services - Main Market,0.800 - 1.000,1.49,29,2.75,0.00,0.00%,0.44,73.10,1,48.9M,Neutral 66.4,Overbought 100.0
GAMUDA BERHAD,"GAMUDA (5398) [s]
GAMUDA BERHAD Summary",Construction - Main Market,2.000 - 5.240,5.68,16,18.02,12.00,4.17%,0.91,181.57,2,"7,108.3M",Neutral 50.5,Neutral 47.4
