full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
SAPURA RESOURCES BERHAD,"SAPRES (4596) [s]
SAPURA RESOURCES BERHAD Summary",Property - Main Market,0.600 - 1.120,-1.35,-14,-4.40,0.00,0.00%,0.19,34.99,2,88.6M,Neutral 47.4,Neutral 70.0
HAI-O ENTERPRISE BERHAD,"HAIO (7668)
HAI-O ENTERPRISE BERHAD Summary",Consumer Products & Services - Main Market,2.480 - 5.390,17.87,14,17.87,14.56,5.62%,2.59,122.90,2,777.8M,Oversold 23.2,Oversold 3.8
SAUDEE GROUP BERHAD,"SAUDEE (5157) [s]
SAUDEE GROUP BERHAD Summary",Consumer Products & Services - Main Market,0.280 - 0.475,-4.77,-14,-2.24,0.00,0.00%,0.67,53.87,1,41.7M,Neutral 50.7,Neutral 42.9
GEORGE KENT (MALAYSIA) BERHAD,"GKENT (3204) [s]
GEORGE KENT (MALAYSIA) BERHAD Summary",Construction - Main Market,0.755 - 4.310,17.09,8,15.08,6.90,6.05%,1.29,76.47,1,642.1M,Neutral 53.3,Neutral 31.6
SAPURA ENERGY BERHAD,"SAPNRG (5218) [s]
SAPURA ENERGY BERHAD Summary",Energy - Main Market,0.255 - 0.910,16.90,25,1.30,0.04,0.12%,4.29,33.18,1,"5,273.1M",Neutral 53.6,Neutral 38.5
MYNEWS HOLDINGS BERHAD,"MYNEWS (5275)
MYNEWS HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,1.260 - 1.720,9.90,33,4.16,1.00,0.72%,3.31,62.29,2,948.2M,Neutral 53.7,Neutral 71.4
NEXGRAM HOLDINGS BERHAD,"NEXGRAM (0096) [s]
NEXGRAM HOLDINGS BERHAD Summary",Telecommunications & Media - Ace Market,0.010 - 0.070,-0.38,-1,-2.78,0.00,0.00%,0.00,2.48,1,41.4M,Neutral 51.8,Overbought 100.0
MCE HOLDINGS BERHAD,"MCEHLDG (7004) [s]
MCE HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.435 - 0.830,-4.39,-7,-8.73,0.00,0.00%,0.32,141.74,0,28.4M,Neutral 57.1,Neutral 61.1
TECHNODEX BHD,"TDEX (0132) [s]
TECHNODEX BHD Summary",Technology - Ace Market,0.065 - 0.140,-17.00,-6,-1.19,0.00,0.00%,1.00,10.21,1,41.3M,Neutral 38.2,Neutral 33.3
SUBUR TIASA HOLDINGS BERHAD,"SUBUR (6904) [s]
SUBUR TIASA HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.400 - 1.000,-3.84,-4,-12.11,0.00,0.00%,0.16,138.19,0,105.5M,Neutral 46.5,Oversold 5.3
SUPERLON HOLDINGS BERHAD,"SUPERLN (7235) [s]
SUPERLON HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.995 - 1.610,8.00,18,6.25,1.14,1.02%,1.43,64.78,2,179.2M,Oversold 20.5,Oversold 6.7
TOP GLOVE CORPORATION BHD,"TOPGLOV (7113) [s]
TOP GLOVE CORPORATION BHD Summary",Health Care - Main Market,4.300 - 12.480,17.34,27,16.99,5.93,1.31%,4.60,185.09,2,"11,548.2M",Neutral 43.8,Neutral 61.8
UNITED MALACCA BERHAD,"UMCCA (2593) [s]
UNITED MALACCA BERHAD Summary",Plantation - Main Market,5.120 - 6.530,-1.30,-58,-9.39,8.00,1.48%,0.75,99.94,5,"1,132.3M",Neutral 46.6,Neutral 40.0
SOLID AUTOMOTIVE BERHAD,"SOLID (5242) [s]
SOLID AUTOMOTIVE BERHAD Summary",Consumer Products & Services - Main Market,0.280 - 0.370,0.58,103,0.30,0.24,0.77%,0.60,35.20,1,121.5M,Neutral 53.4,Overbought 100.0
ANALABS RESOURCES BERHAD,"ANALABS (7083) [s]
ANALABS RESOURCES BERHAD Summary",Industrial Products & Services - Main Market,1.010 - 2.840,3.64,15,7.22,1.85,1.67%,0.56,115.50,1,133.3M,Neutral 43.5,Oversold 0.0
SAPURA INDUSTRIAL BERHAD,"SAPIND (7811) [s]
SAPURA INDUSTRIAL BERHAD Summary",Industrial Products & Services - Main Market,0.690 - 0.900,4.04,14,5.82,4.00,5.00%,0.56,314.37,0,58.2M,Neutral 61.3,Overbought 100.0
BERJAYA LAND BERHAD,"BJLAND (4219)
BERJAYA LAND BERHAD Summary",Consumer Products & Services - Main Market,0.180 - 0.365,-2.22,-14,-1.82,0.00,0.00%,0.32,123.72,0,"1,300.1M",Neutral 40.2,Oversold 14.3
DPI HOLDINGS BERHAD,"DPIH (0205)
DPI HOLDINGS BERHAD Summary",Consumer Products & Services - Ace Market,0.190 - 0.350,4.00,34,0.56,0.00,0.00%,1.36,4.15,5,92.5M,Oversold 22.5,Oversold 0.0
JAYCORP BERHAD,"JAYCORP (7152) [s]
JAYCORP BERHAD Summary",Consumer Products & Services - Main Market,0.750 - 1.010,9.77,8,11.33,8.00,8.42%,0.82,231.67,0,130.4M,Neutral 64.8,Neutral 62.5
REDTONE INTERNATIONAL BERHAD,"REDTONE (0032)
REDTONE INTERNATIONAL BERHAD Summary",Telecommunications & Media - Ace Market,0.150 - 0.335,9.07,16,1.81,0.00,0.00%,1.43,18.09,2,216.1M,Neutral 62.4,Neutral 58.3
ASDION BERHAD,"ASDION (0068) [s]
ASDION BERHAD Summary",Technology - Ace Market,0.155 - 0.535,-30.71,-12,-2.15,0.00,0.00%,3.79,9.78,3,30.8M,Neutral 53.4,Neutral 30.0
GLOMAC BERHAD,"GLOMAC (5020) [s]
GLOMAC BERHAD Summary",Property - Main Market,0.360 - 0.530,2.41,11,3.32,1.49,4.08%,0.27,35.57,1,292.0M,Neutral 44.1,Neutral 25.0
SAMCHEM HOLDINGS BERHAD,"SAMCHEM (5147)
SAMCHEM HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.595 - 1.150,14.81,8,7.85,2.00,3.33%,1.13,402.65,0,163.2M,Neutral 34.9,Oversold 14.3
SCIENTEX BERHAD,"SCIENTX (4731) [s]
SCIENTEX BERHAD Summary",Industrial Products & Services - Main Market,6.510 - 9.480,14.28,16,53.82,20.00,2.35%,2.25,547.00,2,"4,372.0M",Neutral 44.1,Neutral 56.3
BERJAYA SPORTS TOTO BERHAD,"BJTOTO (1562)
BERJAYA SPORTS TOTO BERHAD Summary",Consumer Products & Services - Main Market,2.010 - 2.620,30.29,13,17.87,15.50,6.68%,3.93,415.65,1,"3,134.4M",Neutral 50.1,Neutral 42.9
MAGNI-TECH INDUSTRIES BERHAD,"MAGNI (7087) [s]
MAGNI-TECH INDUSTRIES BERHAD Summary",Consumer Products & Services - Main Market,3.880 - 5.520,19.39,8,62.05,23.00,4.89%,1.47,650.82,1,764.8M,Neutral 57.1,Neutral 43.2
SELANGOR PROPERTIES BERHAD,"SPB (1783)
SELANGOR PROPERTIES BERHAD Summary",Property - Main Market,3.950 - 6.240,2.48,35,18.01,0.00,0.00%,0.86,50.24,12,"2,140.7M",Overbought 83.2,Neutral 50.0
CHOO BEE METAL INDUSTRIES BHD,"CHOOBEE (5797) [s]
CHOO BEE METAL INDUSTRIES BHD Summary",Industrial Products & Services - Main Market,1.410 - 2.480,6.38,6,24.58,4.96,3.14%,0.41,379.87,0,208.1M,Neutral 43.1,Neutral 25.0
POH HUAT RESOURCES HOLDINGS BERHAD,"POHUAT (7088) [s]
POH HUAT RESOURCES HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,1.150 - 1.640,16.04,6,24.07,6.00,3.95%,1.01,281.59,1,354.7M,Neutral 33.2,Oversold 0.0
BERJAYA FOOD BERHAD,"BJFOOD (5196)
BERJAYA FOOD BERHAD Summary",Consumer Products & Services - Main Market,1.280 - 1.840,5.81,26,6.05,4.00,2.52%,1.53,175.05,1,607.2M,Neutral 68.3,Neutral 77.8
POH KONG HOLDINGS BERHAD,"POHKONG (5080) [s]
POH KONG HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,0.440 - 0.570,4.37,9,5.64,1.00,2.06%,0.38,254.63,0,199.0M,Neutral 47.8,Oversold 20.0
BERMAZ AUTO BERHAD,"BAUTO (5248) [s]
BERMAZ AUTO BERHAD Summary",Consumer Products & Services - Main Market,1.800 - 2.470,47.10,10,22.56,15.75,6.79%,4.84,217.05,1,"2,698.4M",Neutral 63.1,Neutral 58.1
BERJAYA MEDIA BERHAD,"BJMEDIA (6025)
BERJAYA MEDIA BERHAD Summary",Telecommunications & Media - Main Market,0.120 - 0.375,-410.50,-2,-8.21,0.00,0.00%,7.50,11.63,1,35.3M,Neutral 43.2,Oversold 12.5
KESM INDUSTRIES BERHAD,"KESM (9334) [s]
KESM INDUSTRIES BERHAD Summary",Technology - Main Market,7.410 - 19.500,5.55,19,46.27,18.50,2.15%,1.03,767.78,1,369.9M,Neutral 38.5,Neutral 34.5
